"family_id","dataset","context","role","contrast","contrast_type","pathway","set_size","overlap_genes","coverage_fraction","eligible","camera_n_genes","camera_direction","camera_p_value","camera_fdr","score_effect","score_standardized_effect","score_t","score_p_value","score_fdr","score_direction"
"FAMILY_1","GSE336490","HIEC6","PRIMARY","PFOA_vs_Vehicle","PFOA_CONTEXT_RESPONSE","Adipogenesis",200,179,0.895,TRUE,179,"UP",0.329492726167266,0.524884071046059,0.00224096936316981,0.752644096307084,1.02492233861776,0.322154781071264,0.536924635118773,"UP"
"FAMILY_1","GSE336490","HIEC6","PRIMARY","PFOA_vs_Vehicle","PFOA_CONTEXT_RESPONSE","Estrogen Response Early",200,152,0.76,TRUE,152,"UP",0.0473199709767251,0.146612111862422,0.00383648901355775,3.00686996205912,2.29721257055865,0.0369232790110999,0.0971665237134209,"UP"
"FAMILY_1","GSE336490","HIEC6","PRIMARY","PFOA_vs_Vehicle","PFOA_CONTEXT_RESPONSE","Estrogen Response Late",200,135,0.675,TRUE,135,"UP",0.680643856163424,0.830053483126127,0.000647333144823244,0.243531242625028,0.312701852187921,0.758948494470964,0.903510112465433,"UP"
"FAMILY_1","GSE336490","HIEC6","PRIMARY","PFOA_vs_Vehicle","PFOA_CONTEXT_RESPONSE","Androgen Response",100,86,0.86,TRUE,86,"UP",0.305140370118368,0.508567283530613,0.00302182728426767,1.23169347160821,1.51138998101432,0.152121381937921,0.319572435517772,"UP"
"FAMILY_1","GSE336490","HIEC6","PRIMARY","PFOA_vs_Vehicle","PFOA_CONTEXT_RESPONSE","Myogenesis",200,130,0.65,TRUE,130,"UP",0.148902814047275,0.33841548647108,0.00266715499876127,1.57030015947729,1.50636233784748,0.153394769048531,0.319572435517772,"UP"
"FAMILY_1","GSE336490","HIEC6","PRIMARY","PFOA_vs_Vehicle","PFOA_CONTEXT_RESPONSE","Protein Secretion",96,91,0.947916666666667,TRUE,91,"DOWN",0.220493520255038,0.408321333805627,-0.00265625955172766,-1.67747262519065,-1.525696885159,0.148546362925531,0.319572435517772,"DOWN"
"FAMILY_1","GSE336490","HIEC6","PRIMARY","PFOA_vs_Vehicle","PFOA_CONTEXT_RESPONSE","Interferon Alpha Response",97,92,0.948453608247423,TRUE,92,"DOWN",2.12758071048248e-31,1.06379035524124e-29,-0.0391167719213018,-5.3207863769531,-7.46845174383193,6.27008446584719e-05,0.00108585986369499,"DOWN"
"FAMILY_1","GSE336490","HIEC6","PRIMARY","PFOA_vs_Vehicle","PFOA_CONTEXT_RESPONSE","Interferon Gamma Response",200,159,0.795,TRUE,159,"DOWN",1.47701531636536e-19,3.6925382909134e-18,-0.028844271410881,-6.0937770793252,-9.1793892192622,1.55148798406224e-06,7.75743992031118e-05,"DOWN"
"FAMILY_1","GSE336490","HIEC6","PRIMARY","PFOA_vs_Vehicle","PFOA_CONTEXT_RESPONSE","Apical Junction",200,146,0.73,TRUE,146,"DOWN",0.888677416188691,0.937436459531112,0.00159878166115812,0.651154690270739,0.799384919758263,0.436935735988366,0.60685518887273,"UP"
"FAMILY_1","GSE336490","HIEC6","PRIMARY","PFOA_vs_Vehicle","PFOA_CONTEXT_RESPONSE","Apical Surface",44,29,0.659090909090909,TRUE,29,"UP",0.906844670419896,0.937436459531112,-0.00182766851990805,-1.52287816583994,-1.10464203342375,0.287264830232185,0.495284190055491,"DOWN"
"FAMILY_1","GSE336490","HIEC6","PRIMARY","PFOA_vs_Vehicle","PFOA_CONTEXT_RESPONSE","Hedgehog Signaling",36,26,0.722222222222222,TRUE,26,"UP",0.373476675526746,0.533538107895351,0.000301218777515141,0.085451048650357,0.125502311138878,0.901845195959465,0.972736505689691,"UP"
