dataset,accession,sample_id,model,treatment,dose_uM,duration_h,replicate,batch,analysis_role,exclusion_reason,matrix_column,source_metadata
GSE244107,GSM7807096,HepaPlate02_M04,iPSC-Hep,Vehicle,0.0,48.0,16,HepaPlate02,COMPARATOR_OR_CONTROL,,HepaPlate02_M04,GEO sample hash + normalized count matrix; plate-centered to matched VEH
GSE244107,GSM7807097,HepaPlate02_M05,iPSC-Hep,Vehicle,0.0,48.0,17,HepaPlate02,COMPARATOR_OR_CONTROL,,HepaPlate02_M05,GEO sample hash + normalized count matrix; plate-centered to matched VEH
GSE244107,GSM7807098,HepaPlate02_M06,iPSC-Hep,Vehicle,0.0,48.0,18,HepaPlate02,COMPARATOR_OR_CONTROL,,HepaPlate02_M06,GEO sample hash + normalized count matrix; plate-centered to matched VEH
GSE244107,GSM7807099,HepaPlate02_M07,iPSC-Hep,Vehicle,0.0,48.0,19,HepaPlate02,COMPARATOR_OR_CONTROL,,HepaPlate02_M07,GEO sample hash + normalized count matrix; plate-centered to matched VEH
GSE244107,GSM7807100,HepaPlate02_M08,iPSC-Hep,Vehicle,0.0,48.0,20,HepaPlate02,COMPARATOR_OR_CONTROL,,HepaPlate02_M08,GEO sample hash + normalized count matrix; plate-centered to matched VEH
GSE244107,GSM7807101,HepaPlate02_M09,iPSC-Hep,Vehicle,0.0,48.0,21,HepaPlate02,COMPARATOR_OR_CONTROL,,HepaPlate02_M09,GEO sample hash + normalized count matrix; plate-centered to matched VEH
GSE145239,GSM4309198,b2_DMSO_0_401,primary human liver spheroid,Vehicle,0.0,24.0,,batch2:ctrl01,MATCHED_CONTROL,,b2_DMSO_0_401,GEO SOFT + raw TempO-Seq counts; control type matched to exp01/exp017/exp03
GSE145239,GSM4309199,b2_DMSO_0_409,primary human liver spheroid,Vehicle,0.0,24.0,,batch2:ctrl01,MATCHED_CONTROL,,b2_DMSO_0_409,GEO SOFT + raw TempO-Seq counts; control type matched to exp01/exp017/exp03
GSE145239,GSM4309200,b2_DMSO_0_417,primary human liver spheroid,Vehicle,0.0,24.0,,batch2:ctrl01,MATCHED_CONTROL,,b2_DMSO_0_417,GEO SOFT + raw TempO-Seq counts; control type matched to exp01/exp017/exp03
GSE145239,GSM4309201,b2_DMSO_0_425,primary human liver spheroid,Vehicle,0.0,24.0,,batch2:ctrl01,MATCHED_CONTROL,,b2_DMSO_0_425,GEO SOFT + raw TempO-Seq counts; control type matched to exp01/exp017/exp03
GSE145239,GSM4309202,b2_DMSO_0_433,primary human liver spheroid,Vehicle,0.0,24.0,,batch2:ctrl01,MATCHED_CONTROL,,b2_DMSO_0_433,GEO SOFT + raw TempO-Seq counts; control type matched to exp01/exp017/exp03
GSE145239,GSM4309203,b2_DMSO_0_441,primary human liver spheroid,Vehicle,0.0,24.0,,batch2:ctrl01,MATCHED_CONTROL,,b2_DMSO_0_441,GEO SOFT + raw TempO-Seq counts; control type matched to exp01/exp017/exp03
GSE145239,GSM4309204,b2_DMSO_0_449,primary human liver spheroid,Vehicle,0.0,24.0,,batch2:ctrl01,MATCHED_CONTROL,,b2_DMSO_0_449,GEO SOFT + raw TempO-Seq counts; control type matched to exp01/exp017/exp03
GSE145239,GSM4309205,b2_DMSO_0_457,primary human liver spheroid,Vehicle,0.0,24.0,,batch2:ctrl01,MATCHED_CONTROL,,b2_DMSO_0_457,GEO SOFT + raw TempO-Seq counts; control type matched to exp01/exp017/exp03
GSE145239,GSM4309206,b2_DMSO_0_521,primary human liver spheroid,Vehicle,0.0,24.0,,batch2:ctrl01,MATCHED_CONTROL,,b2_DMSO_0_521,GEO SOFT + raw TempO-Seq counts; control type matched to exp01/exp017/exp03
GSE145239,GSM4309207,b2_DMSO_0_537,primary human liver spheroid,Vehicle,0.0,24.0,,batch2:ctrl01,MATCHED_CONTROL,,b2_DMSO_0_537,GEO SOFT + raw TempO-Seq counts; control type matched to exp01/exp017/exp03
GSE145239,GSM4309208,b2_DMSO_0_545,primary human liver spheroid,Vehicle,0.0,24.0,,batch2:ctrl01,MATCHED_CONTROL,,b2_DMSO_0_545,GEO SOFT + raw TempO-Seq counts; control type matched to exp01/exp017/exp03
GSE145239,GSM4309209,b2_DMSO_0_553,primary human liver spheroid,Vehicle,0.0,24.0,,batch2:ctrl01,MATCHED_CONTROL,,b2_DMSO_0_553,GEO SOFT + raw TempO-Seq counts; control type matched to exp01/exp017/exp03
GSE145239,GSM4309210,b2_DMSO_0_561,primary human liver spheroid,Vehicle,0.0,24.0,,batch2:ctrl01,MATCHED_CONTROL,,b2_DMSO_0_561,GEO SOFT + raw TempO-Seq counts; control type matched to exp01/exp017/exp03
GSE145239,GSM4309211,b2_DMSO_0_569,primary human liver spheroid,Vehicle,0.0,24.0,,batch2:ctrl01,MATCHED_CONTROL,,b2_DMSO_0_569,GEO SOFT + raw TempO-Seq counts; control type matched to exp01/exp017/exp03
GSE145239,GSM4309212,b2_DMSO_0_593,primary human liver spheroid,Vehicle,0.0,24.0,,batch2:ctrl01,MATCHED_CONTROL,,b2_DMSO_0_593,GEO SOFT + raw TempO-Seq counts; control type matched to exp01/exp017/exp03
GSE145239,GSM4309213,b2_DMSO_0_601,primary human liver spheroid,Vehicle,0.0,24.0,,batch2:ctrl01,MATCHED_CONTROL,,b2_DMSO_0_601,GEO SOFT + raw TempO-Seq counts; control type matched to exp01/exp017/exp03
GSE145239,GSM4309214,b2_DMSO_0_609,primary human liver spheroid,Vehicle,0.0,24.0,,batch2:ctrl01,MATCHED_CONTROL,,b2_DMSO_0_609,GEO SOFT + raw TempO-Seq counts; control type matched to exp01/exp017/exp03
GSE145239,GSM4309215,b2_DMSO_0_617,primary human liver spheroid,Vehicle,0.0,24.0,,batch2:ctrl01,MATCHED_CONTROL,,b2_DMSO_0_617,GEO SOFT + raw TempO-Seq counts; control type matched to exp01/exp017/exp03
