family_id,dataset,context,role,contrast,contrast_type,pathway,set_size,overlap_genes,coverage_fraction,eligible,camera_n_genes,camera_direction,camera_p_value,camera_fdr,score_effect,score_standardized_effect,score_t,score_p_value,score_fdr,score_direction,strong,weak,evidence_direction,evidence_class
FAMILY_1,GSE336490,HIEC6,PRIMARY,PFTeDA_vs_Vehicle,PFTeDA_CONTEXT_SUMMARY,Allograft Rejection,200,106,0.53,True,106.0,UP,0.0001704055700501,0.0009466976113895,0.0144259302733515,4.83367728794719,6.58988465570274,1.00374169423224e-05,3.3458056474408e-05,UP,True,False,UP,STRONG
FAMILY_1,GSE336490,HIEC6,PRIMARY,PFTeDA_vs_Vehicle,PFTeDA_CONTEXT_SUMMARY,Spermatogenesis,135,70,0.518518518518518,True,70.0,DOWN,0.979630437306698,0.988452081941531,4.31632700493567e-05,0.0136038011421535,0.0190916476539899,0.985027586783803,0.985027586783803,UP,False,False,,NO_EVIDENCE
FAMILY_1,GSE336490,HIEC6,PRIMARY,PFTeDA_vs_Vehicle,PFTeDA_CONTEXT_SUMMARY,KRAS Signaling Up,200,126,0.63,True,126.0,UP,0.47324233618863,0.563383733557893,0.0014551560820635,0.765995736889675,0.796916894383612,0.438322891598857,0.487025435109841,UP,False,False,,NO_EVIDENCE
FAMILY_1,GSE336490,HIEC6,PRIMARY,PFTeDA_vs_Vehicle,PFTeDA_CONTEXT_SUMMARY,KRAS Signaling Dn,200,76,0.38,True,76.0,UP,0.312358938772516,0.433831859406272,0.0164544050556077,5.10646687270925,7.216891460238,3.58388836322517e-06,1.27996012972328e-05,UP,False,True,UP,WEAK
FAMILY_1,GSE336490,HIEC6,PRIMARY,PFTeDA_vs_Vehicle,PFTeDA_CONTEXT_SUMMARY,Pancreas Beta Cells,40,13,0.325,True,13.0,UP,0.221250396556948,0.316071995081355,0.0197040036612228,2.93238624927893,4.10028186400007,0.0032597499189266,0.0060365739239382,UP,False,True,UP,WEAK
FAMILY_1,GSE336490,HaCaT,PRIMARY,PFTeDA_vs_Vehicle,PFTeDA_CONTEXT_SUMMARY,TNF-alpha Signaling via NF-kB,200,180,0.9,True,180.0,UP,9.35998970734307e-06,6.01306559758063e-05,0.0127240185977704,4.48497317654185,6.10578545056001,7.74605950590586e-05,0.0003492792458361,UP,True,False,UP,STRONG
FAMILY_1,GSE336490,HaCaT,PRIMARY,PFTeDA_vs_Vehicle,PFTeDA_CONTEXT_SUMMARY,Hypoxia,200,161,0.805,True,161.0,UP,0.0049839451558424,0.0152330482986176,0.0078121624218367,5.75159965400152,5.41437747668676,0.0002136111779503,0.0007628970641083,UP,True,False,UP,STRONG
FAMILY_1,GSE336490,HaCaT,PRIMARY,PFTeDA_vs_Vehicle,PFTeDA_CONTEXT_SUMMARY,Cholesterol Homeostasis,74,66,0.891891891891892,True,66.0,UP,1.67678776800067e-08,2.79464628000112e-07,0.0194973650471033,11.7508685433011,12.5520649094515,7.48463087295785e-08,3.74231543647893e-06,UP,True,False,UP,STRONG
FAMILY_1,GSE336490,HaCaT,PRIMARY,PFTeDA_vs_Vehicle,PFTeDA_CONTEXT_SUMMARY,Mitotic Spindle,199,196,0.984924623115578,True,196.0,DOWN,1.68485255044983e-05,9.36029194694352e-05,-0.0084281070325873,-4.01247937625449,-4.85193210753168,0.0005124080162999,0.0016012750509373,DOWN,True,False,DOWN,STRONG
FAMILY_1,GSE336490,HaCaT,PRIMARY,PFTeDA_vs_Vehicle,PFTeDA_CONTEXT_SUMMARY,Wnt-beta Catenin Signaling,42,35,0.833333333333333,True,35.0,UP,0.179549553550915,0.256499362215593,0.0021494965794295,1.04254996698122,1.24964953545445,0.237418061066681,0.271973528940221,UP,False,False,,NO_EVIDENCE
FAMILY_1,GSE336490,HaCaT,PRIMARY,PFTeDA_vs_Vehicle,PFTeDA_CONTEXT_SUMMARY,TGF-beta Signaling,54,51,0.944444444444444,True,51.0,DOWN,0.0535493259167268,0.0923264239943566,-0.0097173083665581,-5.42321225508177,-6.05027836402933,8.38270190006857e-05,0.0003492792458361,DOWN,False,True,DOWN,WEAK
FAMILY_1,GSE336490,HaCaT,PRIMARY,PFTeDA_vs_Vehicle,PFTeDA_CONTEXT_SUMMARY,IL-6/JAK/STAT3 Signaling,87,59,0.67816091954023,True,59.0,UP,0.543860248132728,0.60428916459192,0.0057919492823888,1.84880072721886,2.59380294058733,0.0250077121946028,0.0378904730221255,UP,False,True,UP,WEAK
FAMILY_1,GSE336490,HaCaT,PRIMARY,PFTeDA_vs_Vehicle,PFTeDA_CONTEXT_SUMMARY,DNA Repair,150,145,0.966666666666667,True,145.0,UP,0.573620149838349,0.62350016286777,0.0030670968322313,0.857059125373757,1.24421130257688,0.239336705467394,0.271973528940221,UP,False,False,,NO_EVIDENCE
FAMILY_1,GSE336490,HaCaT,PRIMARY,PFTeDA_vs_Vehicle,PFTeDA_CONTEXT_SUMMARY,G2-M Checkpoint,200,198,0.99,True,198.0,DOWN,0.0324474528690778,0.0675988601439122,-0.0053132140333968,-9.20449200205034,-4.29417899425229,0.001274586653641,0.0024660646142687,DOWN,False,True,DOWN,WEAK
