family_id,pathway,expected_context_count,formal_interaction_strong,opposing_strong_contexts,supported_context_heterogeneity,basis,interpretation_label,interaction_context,interaction_camera_fdr_min,interaction_score_fdr_min,interaction_score_abs_std_max
FAMILY_2,DNA Repair,2,False,False,False,,IPSC_CONTEXT_PROTOCOL_DURATION,iPSC_Hep_vs_CM_protocol_context,0.914671857631924,0.184348653635897,1.25846770596226
FAMILY_2,E2F Targets,2,False,False,False,,IPSC_CONTEXT_PROTOCOL_DURATION,iPSC_Hep_vs_CM_protocol_context,0.914671857631924,0.105566655223011,1.49506047501275
FAMILY_2,Epithelial Mesenchymal Transition,2,False,False,False,,IPSC_CONTEXT_PROTOCOL_DURATION,iPSC_Hep_vs_CM_protocol_context,0.914671857631924,0.0269218221919408,2.26908146267052
FAMILY_2,Estrogen Response Early,2,False,False,False,,IPSC_CONTEXT_PROTOCOL_DURATION,iPSC_Hep_vs_CM_protocol_context,0.914671857631924,0.316472940819847,0.934616439856017
FAMILY_2,Estrogen Response Late,2,False,False,False,,IPSC_CONTEXT_PROTOCOL_DURATION,iPSC_Hep_vs_CM_protocol_context,0.914671857631924,0.873667162765398,0.113313409801534
FAMILY_2,Fatty Acid Metabolism,2,False,False,False,,IPSC_CONTEXT_PROTOCOL_DURATION,iPSC_Hep_vs_CM_protocol_context,0.914671857631924,0.623045037339082,0.389392734916877
FAMILY_2,G2-M Checkpoint,2,False,False,False,,IPSC_CONTEXT_PROTOCOL_DURATION,iPSC_Hep_vs_CM_protocol_context,0.914671857631924,0.134208644747076,1.34989972478957
FAMILY_2,Glycolysis,2,False,False,False,,IPSC_CONTEXT_PROTOCOL_DURATION,iPSC_Hep_vs_CM_protocol_context,0.914671857631924,0.584981094384217,0.456249539140616
FAMILY_2,Hedgehog Signaling,2,False,False,False,,IPSC_CONTEXT_PROTOCOL_DURATION,iPSC_Hep_vs_CM_protocol_context,0.914671857631924,0.316472940819847,0.779825724841251
FAMILY_2,Hypoxia,2,False,False,False,,IPSC_CONTEXT_PROTOCOL_DURATION,iPSC_Hep_vs_CM_protocol_context,0.914671857631924,0.469944814676527,0.594464062815671
