family_id,pathway,eligible_contexts,strong_contexts,weak_contexts,family_vote,family_weak_support,R1_within_family_consistency,model_restricted,supported_context_heterogeneity,context_states
FAMILY_3,Complement,2,0,0,,,False,False,False,liver_spheroid_24h:NO_EVIDENCE;liver_spheroid_240h:NO_EVIDENCE
FAMILY_3,DNA Repair,2,0,0,,,False,False,False,liver_spheroid_24h:NO_EVIDENCE;liver_spheroid_240h:NO_EVIDENCE
FAMILY_3,E2F Targets,2,0,0,,,False,False,False,liver_spheroid_24h:NO_EVIDENCE;liver_spheroid_240h:NO_EVIDENCE
FAMILY_3,Epithelial Mesenchymal Transition,2,0,1,,UP,False,False,False,liver_spheroid_24h:WEAK_UP;liver_spheroid_240h:NO_EVIDENCE
FAMILY_3,Estrogen Response Early,2,0,1,,UP,False,False,False,liver_spheroid_24h:WEAK_UP;liver_spheroid_240h:NO_EVIDENCE
FAMILY_3,Estrogen Response Late,2,0,0,,,False,False,False,liver_spheroid_24h:NO_EVIDENCE;liver_spheroid_240h:NO_EVIDENCE
FAMILY_3,Fatty Acid Metabolism,2,1,0,DOWN,,False,True,False,liver_spheroid_24h:STRONG_DOWN;liver_spheroid_240h:NO_EVIDENCE
FAMILY_3,G2-M Checkpoint,2,0,0,,,False,False,False,liver_spheroid_24h:NO_EVIDENCE;liver_spheroid_240h:NO_EVIDENCE
FAMILY_3,Glycolysis,2,0,0,,,False,False,False,liver_spheroid_24h:NO_EVIDENCE;liver_spheroid_240h:NO_EVIDENCE
FAMILY_3,Hedgehog Signaling,2,0,1,,UP,False,False,False,liver_spheroid_24h:WEAK_UP;liver_spheroid_240h:NO_EVIDENCE
FAMILY_3,Hypoxia,2,0,1,,UP,False,False,False,liver_spheroid_24h:WEAK_UP;liver_spheroid_240h:NO_EVIDENCE
FAMILY_3,IL-2/STAT5 Signaling,2,0,0,,,False,False,False,liver_spheroid_24h:NO_EVIDENCE;liver_spheroid_240h:NO_EVIDENCE
FAMILY_3,IL-6/JAK/STAT3 Signaling,2,0,0,,,False,False,False,liver_spheroid_24h:NO_EVIDENCE;liver_spheroid_240h:NO_EVIDENCE
FAMILY_3,Inflammatory Response,2,0,0,,,False,False,False,liver_spheroid_24h:NO_EVIDENCE;liver_spheroid_240h:NO_EVIDENCE
FAMILY_3,Interferon Alpha Response,2,0,0,,,False,False,False,liver_spheroid_24h:NO_EVIDENCE;liver_spheroid_240h:NO_EVIDENCE
FAMILY_3,Interferon Gamma Response,2,0,0,,,False,False,False,liver_spheroid_24h:NO_EVIDENCE;liver_spheroid_240h:NO_EVIDENCE
FAMILY_3,KRAS Signaling Dn,1,0,0,,,False,False,False,liver_spheroid_24h:NO_EVIDENCE;liver_spheroid_240h:NOT_ASSESSED
FAMILY_3,KRAS Signaling Up,2,0,0,,,False,False,False,liver_spheroid_24h:NO_EVIDENCE;liver_spheroid_240h:NO_EVIDENCE
FAMILY_3,Mitotic Spindle,2,0,0,,,False,False,False,liver_spheroid_24h:NO_EVIDENCE;liver_spheroid_240h:NO_EVIDENCE
FAMILY_3,Myc Targets V1,2,0,0,,,False,False,False,liver_spheroid_24h:NO_EVIDENCE;liver_spheroid_240h:NO_EVIDENCE
FAMILY_3,Myc Targets V2,2,0,0,,,False,False,False,liver_spheroid_24h:NO_EVIDENCE;liver_spheroid_240h:NO_EVIDENCE
FAMILY_3,Myogenesis,2,0,1,,UP,False,False,False,liver_spheroid_24h:WEAK_UP;liver_spheroid_240h:NO_EVIDENCE
FAMILY_3,Notch Signaling,2,0,1,,UP,False,False,False,liver_spheroid_24h:WEAK_UP;liver_spheroid_240h:NO_EVIDENCE
FAMILY_3,Oxidative Phosphorylation,2,1,0,DOWN,,False,True,False,liver_spheroid_24h:STRONG_DOWN;liver_spheroid_240h:NO_EVIDENCE
FAMILY_3,PI3K/AKT/mTOR  Signaling,2,0,0,,,False,False,False,liver_spheroid_24h:NO_EVIDENCE;liver_spheroid_240h:NO_EVIDENCE
FAMILY_3,Pancreas Beta Cells,0,0,0,,,False,False,False,liver_spheroid_24h:NOT_ASSESSED;liver_spheroid_240h:NOT_ASSESSED
FAMILY_3,Peroxisome,2,0,1,,DOWN,False,False,False,liver_spheroid_24h:WEAK_DOWN;liver_spheroid_240h:NO_EVIDENCE
FAMILY_3,Protein Secretion,2,0,0,,,False,False,False,liver_spheroid_24h:NO_EVIDENCE;liver_spheroid_240h:NO_EVIDENCE
FAMILY_3,Reactive Oxygen Species Pathway,2,0,0,,,False,False,False,liver_spheroid_24h:NO_EVIDENCE;liver_spheroid_240h:NO_EVIDENCE
FAMILY_3,Spermatogenesis,2,0,0,,,False,False,False,liver_spheroid_24h:NO_EVIDENCE;liver_spheroid_240h:NO_EVIDENCE
FAMILY_3,TGF-beta Signaling,2,0,1,,UP,False,False,False,liver_spheroid_24h:WEAK_UP;liver_spheroid_240h:NO_EVIDENCE
FAMILY_3,TNF-alpha Signaling via NF-kB,2,1,0,UP,,False,True,False,liver_spheroid_24h:STRONG_UP;liver_spheroid_240h:NO_EVIDENCE
FAMILY_3,UV Response Dn,2,0,1,,UP,False,False,False,liver_spheroid_24h:WEAK_UP;liver_spheroid_240h:NO_EVIDENCE
FAMILY_3,UV Response Up,2,0,0,,,False,False,False,liver_spheroid_24h:NO_EVIDENCE;liver_spheroid_240h:NO_EVIDENCE
FAMILY_3,Unfolded Protein Response,2,0,0,,,False,False,False,liver_spheroid_24h:NO_EVIDENCE;liver_spheroid_240h:NO_EVIDENCE
FAMILY_3,Wnt-beta Catenin Signaling,2,0,0,,,False,False,False,liver_spheroid_24h:NO_EVIDENCE;liver_spheroid_240h:NO_EVIDENCE
FAMILY_3,Xenobiotic Metabolism,2,0,0,,,False,False,False,liver_spheroid_24h:NO_EVIDENCE;liver_spheroid_240h:NO_EVIDENCE
FAMILY_3,heme Metabolism,2,0,1,,DOWN,False,False,False,liver_spheroid_24h:WEAK_DOWN;liver_spheroid_240h:NO_EVIDENCE
FAMILY_3,mTORC1 Signaling,2,0,0,,,False,False,False,liver_spheroid_24h:NO_EVIDENCE;liver_spheroid_240h:NO_EVIDENCE
FAMILY_3,p53 Pathway,2,0,0,,,False,False,False,liver_spheroid_24h:NO_EVIDENCE;liver_spheroid_240h:NO_EVIDENCE
